node_id,x,y,radius,degree,branch_id,body_part,is_center,is_tip,is_head
0,852.0,473.0,168.67127990722656,9,0,Mantle Center,True,False,False
1,934.3626813639722,323.5325682431033,51.15662384033203,2,1,Arm 1 Base,False,False,False
2,1178.8168447655419,117.67419373420384,30.805843353271484,2,1,Arm 1 Mid 1,False,False,False
3,1243.0,358.3714953271028,9.0,1,1,Arm 1 Tip,False,True,False
4,904.4836653554,602.8844076244051,77.66595458984375,2,2,Arm 2 Base,False,False,False
5,855.8138226442334,734.44151489296,35.84689712524414,2,2,Arm 2 Mid 1,False,False,False
6,880.0000000000001,883.8364485981309,28.07133674621582,1,2,Arm 2 Tip,False,True,False
7,1117.9790779289779,623.9309080511349,63.0079345703125,2,3,Arm 3 Base,False,False,False
8,1419.4260588196687,716.6919477290689,41.67733383178711,2,3,Arm 3 Mid 1,False,False,False
9,1669.8000000000002,661.7780373831775,1.4142135381698608,1,3,Arm 3 Tip,False,True,False
10,964.0439323197003,654.7565733712622,55.6596794128418,2,4,Arm 4 Base,False,False,False
11,1071.6753913435277,844.0603869487736,40.31128692626953,2,4,Arm 4 Mid 1,False,False,False
12,1245.2,938.8014018691589,3.1622776985168457,1,4,Arm 4 Tip,False,True,False
13,713.0467979743512,504.32826304350345,136.41847229003906,2,5,Arm 5 Base,False,False,False
14,499.68942836357485,597.727914448213,27.58622932434082,2,5,Arm 5 Mid 1,False,False,False
15,380.6,806.8855140186917,31.0,1,5,Arm 5 Tip,False,True,False
16,698.675602755379,509.8836496096057,138.39797973632812,2,6,Arm 6 Base,False,False,False
17,595.9913633111419,755.2549498961803,50.91168975830078,2,6,Arm 6 Mid 1,False,False,False
18,334.40000000000003,861.8504672897196,19.313207626342773,1,6,Arm 6 Tip,False,True,False
19,805.0,460.0,167.35890197753906,1,0,Head,False,False,True
